Month,ResourceID,Cloud,Service,Region,InstanceSize,AvgCPUPercent,AvgMemPercent,OnDemandCost,DiscountedCost
2024-09,aw-0001,AWS,Cache,us-east-1,2xlarge,11.4,35.1,153.82,126.18
2024-10,aw-0001,AWS,Cache,us-east-1,2xlarge,3.7,39.4,152.27,127.73
2024-11,aw-0001,AWS,Cache,us-east-1,2xlarge,9.2,40.4,149.75,130.25
2024-12,aw-0001,AWS,Cache,us-east-1,2xlarge,10.2,38.6,154.82,125.18
2025-01,aw-0001,AWS,Cache,us-east-1,2xlarge,14.7,41.2,143.86,136.14
2025-02,aw-0001,AWS,Cache,us-east-1,2xlarge,8.9,43.7,175.13,104.87
2025-03,aw-0001,AWS,Cache,us-east-1,2xlarge,14.3,32.5,174.65,105.35
2025-04,aw-0001,AWS,Cache,us-east-1,2xlarge,10.6,26.2,169.1,110.9
2025-05,aw-0001,AWS,Cache,us-east-1,2xlarge,13.9,35.9,141.85,138.15
2025-06,aw-0001,AWS,Cache,us-east-1,2xlarge,8.1,37.1,167.85,112.15
2025-07,aw-0001,AWS,Cache,us-east-1,2xlarge,9.2,37.7,134.42,145.58
2025-08,aw-0001,AWS,Cache,us-east-1,2xlarge,17.2,36.7,156.52,123.48
2024-09,az-0002,Azure,Cache,eastus,2xlarge,26.3,52.3,151.73,128.27
2024-10,az-0002,Azure,Cache,eastus,2xlarge,31.3,60.6,147.16,132.84
2024-11,az-0002,Azure,Cache,eastus,2xlarge,36.7,60.2,167.94,112.06
2024-12,az-0002,Azure,Cache,eastus,2xlarge,30.6,58.5,164.96,115.04
2025-01,az-0002,Azure,Cache,eastus,2xlarge,37.5,57.7,170.45,109.55
2025-02,az-0002,Azure,Cache,eastus,2xlarge,29.8,54.3,161.01,118.99
2025-03,az-0002,Azure,Cache,eastus,2xlarge,36.6,48.0,161.12,118.88
2025-04,az-0002,Azure,Cache,eastus,2xlarge,31.3,50.8,169.04,110.96
2025-05,az-0002,Azure,Cache,eastus,2xlarge,35.4,47.5,144.6,135.4
2025-06,az-0002,Azure,Cache,eastus,2xlarge,29.7,45.0,173.67,106.33
2025-07,az-0002,Azure,Cache,eastus,2xlarge,35.9,49.3,187.34,92.66
2025-08,az-0002,Azure,Cache,eastus,2xlarge,32.1,43.0,142.5,137.5
2024-09,aw-0003,AWS,Storage,eu-west-1,small,14.5,36.1,66.17,53.83
2024-10,aw-0003,AWS,Storage,eu-west-1,small,20.3,33.6,65.86,54.14
2024-11,aw-0003,AWS,Storage,eu-west-1,small,18.8,41.3,70.22,49.78
2024-12,aw-0003,AWS,Storage,eu-west-1,small,20.6,34.3,65.31,54.69
2025-01,aw-0003,AWS,Storage,eu-west-1,small,17.3,42.1,58.09,61.91
2025-02,aw-0003,AWS,Storage,eu-west-1,small,15.5,38.0,67.25,52.75
2025-03,aw-0003,AWS,Storage,eu-west-1,small,18.6,36.4,59.46,60.54
2025-04,aw-0003,AWS,Storage,eu-west-1,small,23.9,36.7,74.01,45.99
2025-05,aw-0003,AWS,Storage,eu-west-1,small,21.0,39.0,67.17,52.83
2025-06,aw-0003,AWS,Storage,eu-west-1,small,15.0,31.9,73.57,46.43
2025-07,aw-0003,AWS,Storage,eu-west-1,small,19.6,37.1,65.88,54.12
2025-08,aw-0003,AWS,Storage,eu-west-1,small,21.3,34.0,75.4,44.6
2024-09,aw-0004,AWS,Database,us-west-2,small,34.6,32.1,62.07,57.93
2024-10,aw-0004,AWS,Database,us-west-2,small,33.4,33.4,54.66,65.34
2024-11,aw-0004,AWS,Database,us-west-2,small,30.8,25.1,74.64,45.36
2024-12,aw-0004,AWS,Database,us-west-2,small,37.5,30.1,61.57,58.43
2025-01,aw-0004,AWS,Database,us-west-2,small,36.4,31.0,59.08,60.92
2025-02,aw-0004,AWS,Database,us-west-2,small,38.4,27.6,65.9,54.1
2025-03,aw-0004,AWS,Database,us-west-2,small,36.3,29.5,70.06,49.94
2025-04,aw-0004,AWS,Database,us-west-2,small,32.3,29.6,76.07,43.93
2025-05,aw-0004,AWS,Database,us-west-2,small,35.7,35.2,69.74,50.26
2025-06,aw-0004,AWS,Database,us-west-2,small,32.3,29.3,62.69,57.31
2025-07,aw-0004,AWS,Database,us-west-2,small,36.5,26.9,69.21,50.79
2025-08,aw-0004,AWS,Database,us-west-2,small,29.6,24.1,69.54,50.46
2024-09,gc-0005,GCP,Cache,us-west1,micro,23.2,28.0,47.22,32.78
2024-10,gc-0005,GCP,Cache,us-west1,micro,24.0,15.5,52.86,27.14
2024-11,gc-0005,GCP,Cache,us-west1,micro,23.0,27.3,43.63,36.37
2024-12,gc-0005,GCP,Cache,us-west1,micro,31.2,30.6,50.13,29.87
2025-01,gc-0005,GCP,Cache,us-west1,micro,24.6,23.8,42.88,37.12
2025-02,gc-0005,GCP,Cache,us-west1,micro,26.7,29.3,48.64,31.36
2025-03,gc-0005,GCP,Cache,us-west1,micro,22.7,32.9,42.12,37.88
2025-04,gc-0005,GCP,Cache,us-west1,micro,27.0,27.3,52.57,27.43
2025-05,gc-0005,GCP,Cache,us-west1,micro,21.4,25.4,44.28,35.72
2025-06,gc-0005,GCP,Cache,us-west1,micro,19.2,22.7,52.27,27.73
2025-07,gc-0005,GCP,Cache,us-west1,micro,25.0,18.8,49.0,31.0
2025-08,gc-0005,GCP,Cache,us-west1,micro,17.7,24.7,47.0,33.0
2024-09,aw-0006,AWS,Storage,us-east-1,large,19.5,28.0,117.43,82.57
2024-10,aw-0006,AWS,Storage,us-east-1,large,22.3,28.8,101.68,98.32
2024-11,aw-0006,AWS,Storage,us-east-1,large,20.6,30.5,118.89,81.11
2024-12,aw-0006,AWS,Storage,us-east-1,large,21.5,27.8,114.57,85.43
2025-01,aw-0006,AWS,Storage,us-east-1,large,16.1,30.1,104.95,95.05
2025-02,aw-0006,AWS,Storage,us-east-1,large,18.5,21.3,98.74,101.26
2025-03,aw-0006,AWS,Storage,us-east-1,large,22.1,28.0,111.08,88.92
2025-04,aw-0006,AWS,Storage,us-east-1,large,19.9,26.3,113.66,86.34
2025-05,aw-0006,AWS,Storage,us-east-1,large,19.1,24.1,103.65,96.35
2025-06,aw-0006,AWS,Storage,us-east-1,large,20.7,27.1,98.56,101.44
2025-07,aw-0006,AWS,Storage,us-east-1,large,14.5,20.2,106.62,93.38
2025-08,aw-0006,AWS,Storage,us-east-1,large,13.6,22.6,85.49,114.51
2024-09,az-0007,Azure,Compute/VM,eastus,small,30.3,8.6,73.42,46.58
2024-10,az-0007,Azure,Compute/VM,eastus,small,29.5,9.4,76.96,43.04
2024-11,az-0007,Azure,Compute/VM,eastus,small,30.1,16.2,73.13,46.87
2024-12,az-0007,Azure,Compute/VM,eastus,small,32.6,13.7,66.07,53.93
2025-01,az-0007,Azure,Compute/VM,eastus,small,30.5,13.7,62.73,57.27
2025-02,az-0007,Azure,Compute/VM,eastus,small,36.8,14.0,66.72,53.28
2025-03,az-0007,Azure,Compute/VM,eastus,small,34.1,12.9,63.5,56.5
2025-04,az-0007,Azure,Compute/VM,eastus,small,33.3,13.3,60.94,59.06
2025-05,az-0007,Azure,Compute/VM,eastus,small,38.0,12.8,71.22,48.78
2025-06,az-0007,Azure,Compute/VM,eastus,small,37.5,9.3,75.77,44.23
2025-07,az-0007,Azure,Compute/VM,eastus,small,31.5,7.0,61.04,58.96
2025-08,az-0007,Azure,Compute/VM,eastus,small,28.7,4.2,73.36,46.64
2024-09,gc-0008,GCP,Storage,us-central1,nano,20.6,22.2,21.8,18.2
2024-10,gc-0008,GCP,Storage,us-central1,nano,26.3,31.0,25.97,14.03
2024-11,gc-0008,GCP,Storage,us-central1,nano,27.2,22.2,19.34,20.66
2024-12,gc-0008,GCP,Storage,us-central1,nano,32.2,16.8,26.12,13.88
2025-01,gc-0008,GCP,Storage,us-central1,nano,31.3,21.3,23.88,16.12
2025-02,gc-0008,GCP,Storage,us-central1,nano,28.5,23.0,22.41,17.59
2025-03,gc-0008,GCP,Storage,us-central1,nano,27.4,21.1,25.17,14.83
2025-04,gc-0008,GCP,Storage,us-central1,nano,24.2,19.8,23.37,16.63
2025-05,gc-0008,GCP,Storage,us-central1,nano,24.2,29.2,23.76,16.24
2025-06,gc-0008,GCP,Storage,us-central1,nano,25.1,23.3,22.37,17.63
2025-07,gc-0008,GCP,Storage,us-central1,nano,24.1,23.0,25.14,14.86
2025-08,gc-0008,GCP,Storage,us-central1,nano,29.7,16.2,22.29,17.71
2024-09,aw-0009,AWS,Database,us-west-2,2xlarge,18.1,29.0,138.2,141.8
2024-10,aw-0009,AWS,Database,us-west-2,2xlarge,22.1,34.1,167.2,112.8
2024-11,aw-0009,AWS,Database,us-west-2,2xlarge,27.6,26.6,157.36,122.64
2024-12,aw-0009,AWS,Database,us-west-2,2xlarge,23.2,27.2,165.76,114.24
2025-01,aw-0009,AWS,Database,us-west-2,2xlarge,26.4,30.7,162.6,117.4
2025-02,aw-0009,AWS,Database,us-west-2,2xlarge,28.2,26.9,140.05,139.95
2025-03,aw-0009,AWS,Database,us-west-2,2xlarge,27.0,28.3,169.5,110.5
2025-04,aw-0009,AWS,Database,us-west-2,2xlarge,25.9,29.5,128.88,151.12
2025-05,aw-0009,AWS,Database,us-west-2,2xlarge,25.6,28.9,154.81,125.19
2025-06,aw-0009,AWS,Database,us-west-2,2xlarge,29.9,25.3,172.4,107.6
2025-07,aw-0009,AWS,Database,us-west-2,2xlarge,24.4,30.9,169.41,110.59
2025-08,aw-0009,AWS,Database,us-west-2,2xlarge,23.7,30.1,127.81,152.19
2024-09,aw-0010,AWS,Cache,ap-south-1,large,21.8,28.0,99.07,100.93
2024-10,aw-0010,AWS,Cache,ap-south-1,large,17.8,24.9,113.02,86.98
2024-11,aw-0010,AWS,Cache,ap-south-1,large,17.9,30.1,128.1,71.9
2024-12,aw-0010,AWS,Cache,ap-south-1,large,20.8,40.1,109.51,90.49
2025-01,aw-0010,AWS,Cache,ap-south-1,large,18.9,34.2,112.92,87.08
2025-02,aw-0010,AWS,Cache,ap-south-1,large,21.3,28.6,100.44,99.56
2025-03,aw-0010,AWS,Cache,ap-south-1,large,21.0,25.7,103.89,96.11
2025-04,aw-0010,AWS,Cache,ap-south-1,large,23.7,29.4,126.05,73.95
2025-05,aw-0010,AWS,Cache,ap-south-1,large,23.0,31.5,122.38,77.62
2025-06,aw-0010,AWS,Cache,ap-south-1,large,23.9,30.7,112.39,87.61
2025-07,aw-0010,AWS,Cache,ap-south-1,large,18.8,24.9,123.87,76.13
2025-08,aw-0010,AWS,Cache,ap-south-1,large,16.8,30.0,104.99,95.01
2024-09,az-0011,Azure,Cache,southeastasia,2xlarge,21.3,47.8,168.28,111.72
2024-10,az-0011,Azure,Cache,southeastasia,2xlarge,25.1,41.2,134.01,145.99
2024-11,az-0011,Azure,Cache,southeastasia,2xlarge,25.7,44.0,143.84,136.16
2024-12,az-0011,Azure,Cache,southeastasia,2xlarge,26.3,45.1,172.88,107.12
2025-01,az-0011,Azure,Cache,southeastasia,2xlarge,21.7,43.5,161.87,118.13
2025-02,az-0011,Azure,Cache,southeastasia,2xlarge,20.8,38.8,159.25,120.75
2025-03,az-0011,Azure,Cache,southeastasia,2xlarge,25.3,46.9,193.88,86.12
2025-04,az-0011,Azure,Cache,southeastasia,2xlarge,26.3,42.3,120.52,159.48
2025-05,az-0011,Azure,Cache,southeastasia,2xlarge,29.2,35.1,172.41,107.59
2025-06,az-0011,Azure,Cache,southeastasia,2xlarge,19.3,35.7,167.48,112.52
2025-07,az-0011,Azure,Cache,southeastasia,2xlarge,22.6,36.0,188.67,91.33
2025-08,az-0011,Azure,Cache,southeastasia,2xlarge,21.3,35.2,161.69,118.31
2024-09,aw-0012,AWS,Cache,eu-west-1,large,27.2,33.4,103.2,96.8
2024-10,aw-0012,AWS,Cache,eu-west-1,large,26.0,27.5,121.54,78.46
2024-11,aw-0012,AWS,Cache,eu-west-1,large,31.1,28.9,107.07,92.93
2024-12,aw-0012,AWS,Cache,eu-west-1,large,27.3,31.4,108.81,91.19
2025-01,aw-0012,AWS,Cache,eu-west-1,large,31.4,30.8,132.86,67.14
2025-02,aw-0012,AWS,Cache,eu-west-1,large,31.9,29.1,118.3,81.7
