EmployeeID,DeviceID,Location,Vendor,Product,DeploymentType,EntitledLicenses,ActualUsage
1,DEV-00001,Germany,Oracle DB,Oracle 21c,Cloud,3,0
2,DEV-00002,India,Adobe CC,Premiere Pro,On-Prem,4,0
3,DEV-00003,UK,Microsoft 365,PowerPoint,On-Prem,4,4
4,DEV-00004,UK,Oracle DB,Oracle 21c,On-Prem,3,0
5,DEV-00005,Singapore,SQL Server,SQL 2019,On-Prem,1,1
6,DEV-00006,UK,Adobe CC,Illustrator,On-Prem,2,2
7,DEV-00007,US,Adobe CC,Illustrator,Cloud,4,3
8,DEV-00008,Germany,SQL Server,SQL 2019,Cloud,5,0
9,DEV-00009,Singapore,SQL Server,SQL 2019,Cloud,1,1
10,DEV-00010,US,Microsoft 365,PowerPoint,Cloud,4,1
11,DEV-00011,Singapore,Salesforce,CRM Cloud,On-Prem,3,1
12,DEV-00012,UK,SQL Server,SQL 2019,Cloud,1,0
13,DEV-00013,Germany,Salesforce,CRM Cloud,On-Prem,1,1
14,DEV-00014,US,SQL Server,SQL 2022,Cloud,2,0
15,DEV-00015,Germany,Adobe CC,Photoshop,Cloud,5,3
16,DEV-00016,UK,Microsoft 365,Word,Cloud,4,1
17,DEV-00017,Germany,Oracle DB,Oracle 19c,Cloud,4,3
18,DEV-00018,Germany,Salesforce,CRM Cloud,On-Prem,2,0
19,DEV-00019,India,Zoom,Zoom Meetings,Cloud,3,0
20,DEV-00020,Germany,Microsoft 365,PowerPoint,Cloud,3,2
21,DEV-00021,US,Microsoft 365,Word,Cloud,2,0
22,DEV-00022,US,Microsoft 365,Excel,On-Prem,1,1
23,DEV-00023,Singapore,Zoom,Zoom Meetings,Cloud,4,1
24,DEV-00024,US,Salesforce,CRM Cloud,Cloud,1,1
25,DEV-00025,US,Oracle DB,Oracle 21c,On-Prem,4,0
26,DEV-00026,UK,Salesforce,CRM Cloud,On-Prem,5,2
27,DEV-00027,UK,Adobe CC,Premiere Pro,Cloud,1,1
28,DEV-00028,India,Adobe CC,Illustrator,On-Prem,4,1
29,DEV-00029,US,Adobe CC,Illustrator,On-Prem,4,3
30,DEV-00030,UK,Oracle DB,Oracle 19c,On-Prem,2,2
31,DEV-00031,UK,Adobe CC,Premiere Pro,Cloud,3,2
32,DEV-00032,Singapore,Zoom,Zoom Meetings,Cloud,3,0
33,DEV-00033,UK,SQL Server,SQL 2019,Cloud,5,2
34,DEV-00034,Germany,Microsoft 365,Word,Cloud,3,3
35,DEV-00035,Germany,SQL Server,SQL 2019,On-Prem,4,0
36,DEV-00036,UK,Salesforce,CRM Cloud,On-Prem,5,4
37,DEV-00037,Singapore,Salesforce,CRM Cloud,Cloud,4,2
38,DEV-00038,US,Adobe CC,Photoshop,Cloud,2,1
39,DEV-00039,US,SQL Server,SQL 2019,On-Prem,4,3
40,DEV-00040,UK,Microsoft 365,PowerPoint,Cloud,4,0
41,DEV-00041,India,Adobe CC,Premiere Pro,Cloud,3,0
42,DEV-00042,UK,SQL Server,SQL 2022,Cloud,4,0
43,DEV-00043,US,Oracle DB,Oracle 21c,On-Prem,3,2
44,DEV-00044,US,Microsoft 365,Teams,Cloud,4,1
45,DEV-00045,UK,Salesforce,CRM Cloud,On-Prem,2,2
46,DEV-00046,UK,Salesforce,CRM Cloud,Cloud,4,3
47,DEV-00047,India,SQL Server,SQL 2022,Cloud,3,3
48,DEV-00048,Singapore,Oracle DB,Oracle 19c,Cloud,1,0
49,DEV-00049,Germany,Oracle DB,Oracle 21c,On-Prem,1,1
50,DEV-00050,Singapore,Salesforce,CRM Cloud,On-Prem,1,0
51,DEV-00051,Singapore,Salesforce,CRM Cloud,Cloud,4,2
52,DEV-00052,UK,Oracle DB,Oracle 19c,Cloud,3,3
53,DEV-00053,Germany,Zoom,Zoom Meetings,On-Prem,2,1
54,DEV-00054,India,Zoom,Zoom Meetings,Cloud,4,3
55,DEV-00055,Germany,SQL Server,SQL 2022,On-Prem,4,3
56,DEV-00056,US,Zoom,Zoom Meetings,On-Prem,4,0
57,DEV-00057,UK,Adobe CC,Illustrator,On-Prem,1,1
58,DEV-00058,Germany,Zoom,Zoom Meetings,On-Prem,3,1
59,DEV-00059,Germany,SQL Server,SQL 2022,Cloud,2,2
60,DEV-00060,UK,Zoom,Zoom Meetings,Cloud,3,1
61,DEV-00061,Singapore,Oracle DB,Oracle 21c,Cloud,2,2
62,DEV-00062,India,Oracle DB,Oracle 19c,Cloud,2,0
63,DEV-00063,US,Oracle DB,Oracle 21c,Cloud,3,3
64,DEV-00064,Germany,Zoom,Zoom Meetings,Cloud,1,0
65,DEV-00065,Singapore,Adobe CC,Photoshop,On-Prem,3,3
66,DEV-00066,Germany,Microsoft 365,Excel,Cloud,1,1
67,DEV-00067,Singapore,Adobe CC,Illustrator,Cloud,4,1
68,DEV-00068,UK,Salesforce,CRM Cloud,On-Prem,5,2
69,DEV-00069,US,Microsoft 365,Word,Cloud,4,3
70,DEV-00070,Singapore,SQL Server,SQL 2019,Cloud,3,0
71,DEV-00071,Singapore,Adobe CC,Photoshop,Cloud,5,4
72,DEV-00072,UK,Microsoft 365,Word,On-Prem,2,2
73,DEV-00073,UK,Adobe CC,Premiere Pro,On-Prem,5,3
74,DEV-00074,Singapore,Microsoft 365,Teams,On-Prem,3,1
75,DEV-00075,India,Zoom,Zoom Meetings,On-Prem,3,3
76,DEV-00076,US,Microsoft 365,Teams,Cloud,1,0
77,DEV-00077,UK,Oracle DB,Oracle 21c,On-Prem,4,1
78,DEV-00078,Singapore,Zoom,Zoom Meetings,On-Prem,2,0
79,DEV-00079,UK,Zoom,Zoom Meetings,On-Prem,1,0
80,DEV-00080,US,Salesforce,CRM Cloud,Cloud,3,1
81,DEV-00081,Singapore,SQL Server,SQL 2022,On-Prem,5,2
82,DEV-00082,Germany,Salesforce,CRM Cloud,Cloud,5,5
83,DEV-00083,India,SQL Server,SQL 2019,Cloud,3,2
84,DEV-00084,UK,Zoom,Zoom Meetings,On-Prem,1,0
85,DEV-00085,UK,SQL Server,SQL 2019,Cloud,1,0
86,DEV-00086,US,Zoom,Zoom Meetings,On-Prem,2,1
87,DEV-00087,UK,Adobe CC,Illustrator,On-Prem,5,2
88,DEV-00088,UK,Adobe CC,Premiere Pro,On-Prem,2,2
89,DEV-00089,UK,SQL Server,SQL 2022,Cloud,3,1
90,DEV-00090,Singapore,Oracle DB,Oracle 19c,Cloud,5,2
91,DEV-00091,Singapore,Adobe CC,Premiere Pro,On-Prem,3,3
92,DEV-00092,US,Adobe CC,Photoshop,Cloud,3,1
93,DEV-00093,India,Microsoft 365,Teams,Cloud,1,0
94,DEV-00094,Germany,Oracle DB,Oracle 21c,Cloud,1,0
95,DEV-00095,India,Salesforce,CRM Cloud,Cloud,4,3
96,DEV-00096,UK,Adobe CC,Illustrator,On-Prem,4,1
97,DEV-00097,UK,SQL Server,SQL 2022,On-Prem,1,1
98,DEV-00098,Germany,Oracle DB,Oracle 21c,Cloud,5,0
99,DEV-00099,India,Adobe CC,Photoshop,Cloud,4,2
100,DEV-00100,Germany,Microsoft 365,PowerPoint,On-Prem,4,3
101,DEV-00101,India,Microsoft 365,PowerPoint,Cloud,3,1
102,DEV-00102,UK,Salesforce,CRM Cloud,On-Prem,5,4
103,DEV-00103,Germany,SQL Server,SQL 2022,On-Prem,5,1
104,DEV-00104,India,Microsoft 365,Teams,Cloud,2,2
105,DEV-00105,India,Oracle DB,Oracle 21c,On-Prem,4,4
106,DEV-00106,India,Salesforce,CRM Cloud,Cloud,1,0
107,DEV-00107,US,Zoom,Zoom Meetings,Cloud,5,1
108,DEV-00108,Singapore,Microsoft 365,Teams,On-Prem,3,3
109,DEV-00109,India,Salesforce,CRM Cloud,On-Prem,3,1
110,DEV-00110,US,Salesforce,CRM Cloud,Cloud,4,4
111,DEV-00111,Germany,Microsoft 365,PowerPoint,Cloud,3,3
112,DEV-00112,Germany,Zoom,Zoom Meetings,On-Prem,2,1
113,DEV-00113,Singapore,Oracle DB,Oracle 19c,Cloud,5,3
114,DEV-00114,UK,Oracle DB,Oracle 19c,On-Prem,3,3
115,DEV-00115,Germany,Salesforce,CRM Cloud,On-Prem,3,2
116,DEV-00116,Germany,Zoom,Zoom Meetings,On-Prem,1,1
117,DEV-00117,Germany,Microsoft 365,Teams,Cloud,4,2
118,DEV-00118,US,Zoom,Zoom Meetings,On-Prem,2,2
119,DEV-00119,US,Zoom,Zoom Meetings,On-Prem,5,3
120,DEV-00120,Germany,Zoom,Zoom Meetings,Cloud,3,3
121,DEV-00121,UK,Salesforce,CRM Cloud,Cloud,3,1
122,DEV-00122,Germany,Oracle DB,Oracle 19c,Cloud,4,1
123,DEV-00123,India,Microsoft 365,PowerPoint,Cloud,5,0
124,DEV-00124,US,Microsoft 365,Word,Cloud,1,1
125,DEV-00125,Germany,Salesforce,CRM Cloud,Cloud,3,2
126,DEV-00126,India,Microsoft 365,Teams,On-Prem,2,1
127,DEV-00127,UK,SQL Server,SQL 2019,On-Prem,4,1
128,DEV-00128,Germany,SQL Server,SQL 2019,On-Prem,2,0
129,DEV-00129,Germany,SQL Server,SQL 2019,Cloud,3,0
130,DEV-00130,Singapore,Oracle DB,Oracle 19c,On-Prem,1,1
