EmployeeID,DeviceID,Location,Department,Vendor,Product,DeploymentType,LicenseType,Edition,ProductVersion,EntitledLicenses,ActualUsage,LastUsedDays,IsEOL,KnownVulns,DaysSincePatch,CostPerLicense,ContractEndDate
1,DEV-00001,India,IT,Salesforce,CRM Cloud,On-Prem,SaaS,Professional,Summer'25,5,7,7,1,1,30,120,2025-11-13
2,DEV-00002,US,Marketing,Zoom,Zoom Meetings,On-Prem,Perpetual,Business,5.17,2,1,0,0,0,7,12,2025-09-30
3,DEV-00003,US,Sales,Oracle DB,Oracle 21c,On-Prem,SaaS,Enterprise,21.3,1,1,90,0,0,60,500,2026-08-02
4,DEV-00004,UK,IT,Salesforce,CRM Cloud,On-Prem,Subscription,Professional,Spring'25,5,2,0,0,1,15,120,2025-11-01
5,DEV-00005,India,Marketing,Oracle DB,Oracle 19c,On-Prem,SaaS,Enterprise,19.14,4,2,0,0,0,15,500,2026-03-27
6,DEV-00006,US,Engineering,Salesforce,CRM Cloud,On-Prem,Perpetual,Professional,Summer'25,4,4,30,0,0,15,120,2026-03-12
7,DEV-00007,India,Marketing,Microsoft 365,PowerPoint,Cloud,Subscription,Basic,16.0,5,2,30,0,0,15,15,2026-06-09
8,DEV-00008,Germany,Support,Adobe CC,Illustrator,On-Prem,SaaS,All Apps,28.0,5,1,7,0,0,60,25,2025-12-06
9,DEV-00009,Singapore,Support,Microsoft 365,Word,On-Prem,SaaS,Standard,16.2,4,3,0,0,0,30,15,2026-05-24
10,DEV-00010,Singapore,Engineering,Zoom,Zoom Meetings,On-Prem,Perpetual,Business,5.17,3,3,0,0,0,7,12,2025-09-28
11,DEV-00011,UK,HR,Zoom,Zoom Meetings,Cloud,Perpetual,Business,5.16,2,0,0,0,2,15,12,2026-06-25
12,DEV-00012,India,Operations,SQL Server,SQL 2019,On-Prem,Subscription,Enterprise,15.0.43,1,0,0,0,0,15,300,2026-06-02
13,DEV-00013,India,HR,Adobe CC,Premiere Pro,Cloud,Perpetual,Single App,24.0,5,3,0,0,0,7,25,2026-06-30
14,DEV-00014,US,Engineering,SQL Server,SQL 2022,Cloud,Perpetual,Enterprise,16.0.10,2,1,120,1,0,30,300,2026-07-07
15,DEV-00015,US,Marketing,Microsoft 365,Word,On-Prem,SaaS,Basic,16.0,3,4,7,0,0,30,15,2026-06-02
16,DEV-00016,US,HR,Salesforce,CRM Cloud,On-Prem,Subscription,Enterprise,Summer'25,1,3,0,0,1,90,120,2026-04-25
17,DEV-00017,Germany,IT,Salesforce,CRM Cloud,On-Prem,Subscription,Enterprise,Summer'25,2,2,120,0,0,90,120,2026-05-01
18,DEV-00018,US,Engineering,SQL Server,SQL 2019,On-Prem,Subscription,Standard,15.0.43,5,0,0,0,0,7,300,2026-01-26
